                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 1.7258,                 1.0985,                 2.0296,                0.79227,                0.66432,                0.74292,                0.51017,                 2.2224,                 1.6204,                 2.3817,             0.00019167,             0.00019167,             0.00019167
                     93,                 1.7345,                 1.0984,                 2.0259,                0.78192,                0.66099,                0.73994,                0.51116,                 2.2269,                 1.6231,                 2.3944,             0.00018533,             0.00018533,             0.00018533
                     94,                 1.7052,                 1.0759,                 2.0271,                0.76651,                0.66736,                0.73673,                0.50896,                 2.2291,                 1.6393,                 2.3885,             0.00017898,             0.00017898,             0.00017898
                     95,                 1.7174,                 1.0722,                 2.0201,                0.74953,                0.68775,                0.74248,                0.51163,                 2.2165,                 1.5983,                 2.3836,             0.00017264,             0.00017264,             0.00017264
                     96,                 1.7055,                 1.0769,                 2.0069,                 0.7951,                0.65311,                0.73544,                 0.5105,                 2.2302,                 1.6317,                 2.3785,              0.0001663,              0.0001663,              0.0001663
                     97,                 1.6706,                  1.044,                 2.0017,                0.77822,                0.67422,                0.74419,                 0.5139,                 2.2134,                 1.6255,                 2.3722,             0.00015995,             0.00015995,             0.00015995
                     98,                 1.6636,                 1.0418,                 1.9958,                0.80151,                0.66077,                0.74301,                0.51422,                 2.2177,                 1.6168,                 2.3768,             0.00015361,             0.00015361,             0.00015361
                     99,                 1.6612,                 1.0448,                 2.0011,                0.76716,                 0.6798,                0.73933,                0.51059,                 2.2184,                  1.633,                 2.3816,             0.00014726,             0.00014726,             0.00014726
                    100,                 1.6668,                 1.0482,                 1.9836,                0.76756,                0.68305,                0.74609,                0.51138,                 2.2263,                 1.6396,                 2.3858,             0.00014092,             0.00014092,             0.00014092
                    101,                 1.6591,                 1.0272,                 1.9831,                0.78002,                0.66975,                0.73989,                0.51047,                 2.2216,                 1.6272,                 2.3959,             0.00013457,             0.00013457,             0.00013457
                    102,                  1.642,                 1.0119,                 1.9808,                0.78395,                 0.6618,                0.74319,                0.51175,                 2.2245,                 1.6362,                 2.4114,             0.00012823,             0.00012823,             0.00012823
                    103,                 1.6136,                 1.0014,                 1.9769,                0.74955,                0.68621,                0.74275,                0.51566,                  2.221,                  1.629,                 2.4085,             0.00012189,             0.00012189,             0.00012189
                    104,                 1.6326,                 1.0183,                 1.9789,                0.80145,                0.66001,                0.74514,                0.51622,                 2.2222,                 1.6279,                 2.4066,             0.00011554,             0.00011554,             0.00011554
                    105,                 1.6277,                0.99382,                 1.9717,                0.77023,                0.68049,                0.74444,                0.51576,                 2.2245,                 1.6196,                 2.4119,              0.0001092,              0.0001092,              0.0001092
                    106,                 1.6114,                0.98951,                 1.9786,                0.74681,                0.69658,                0.74915,                 0.5173,                 2.2264,                 1.6187,                 2.4072,             0.00010285,             0.00010285,             0.00010285
                    107,                 1.6183,                0.97881,                 1.9651,                 0.7499,                0.69814,                0.74409,                0.51341,                 2.2278,                 1.6439,                 2.4084,              9.651e-05,              9.651e-05,              9.651e-05
                    108,                 1.6079,                0.97318,                 1.9563,                0.76881,                0.68005,                0.74306,                0.51421,                  2.238,                  1.628,                  2.414,             9.0165e-05,             9.0165e-05,             9.0165e-05
                    109,                  1.588,                 0.9669,                 1.9626,                0.79365,                0.67559,                0.75193,                0.52305,                 2.2121,                 1.6134,                 2.4019,             8.3821e-05,             8.3821e-05,             8.3821e-05
                    110,                 1.5723,                0.95874,                 1.9601,                0.81774,                0.65723,                0.75049,                0.51955,                 2.2137,                 1.6188,                 2.3979,             7.7477e-05,             7.7477e-05,             7.7477e-05
                    111,                 1.4788,                0.78803,                 1.8977,                0.79116,                0.66922,                0.74434,                 0.5164,                 2.2098,                 1.6323,                 2.4026,             7.1133e-05,             7.1133e-05,             7.1133e-05
                    112,                  1.467,                  0.781,                 1.8952,                0.75984,                0.69123,                0.74322,                 0.5152,                 2.2128,                 1.6459,                  2.406,             6.4788e-05,             6.4788e-05,             6.4788e-05
                    113,                 1.4514,                0.76888,                 1.8827,                0.80029,                0.66346,                0.74351,                0.51959,                 2.2129,                 1.6494,                  2.414,             5.8444e-05,             5.8444e-05,             5.8444e-05
                    114,                  1.452,                0.76536,                 1.8802,                0.77577,                0.68197,                0.74276,                0.51866,                 2.2099,                 1.6544,                  2.409,               5.21e-05,               5.21e-05,               5.21e-05
                    115,                 1.4314,                0.75129,                 1.8773,                0.79375,                0.66957,                0.74734,                0.51999,                  2.214,                 1.6543,                 2.4163,             4.5756e-05,             4.5756e-05,             4.5756e-05
                    116,                 1.4224,                 0.7404,                 1.8654,                0.79894,                0.67521,                 0.7478,                  0.519,                 2.2139,                 1.6585,                 2.4171,             3.9411e-05,             3.9411e-05,             3.9411e-05
                    117,                 1.4206,                0.73313,                 1.8666,                 0.7647,                0.68841,                0.74692,                0.51863,                  2.216,                 1.6622,                 2.4208,             3.3067e-05,             3.3067e-05,             3.3067e-05
                    118,                 1.4134,                 0.7421,                 1.8642,                0.79217,                0.68074,                0.74632,                0.51858,                 2.2099,                 1.6607,                 2.4243,             2.6723e-05,             2.6723e-05,             2.6723e-05
                    119,                 1.3994,                0.72836,                 1.8596,                 0.8009,                0.66916,                0.74571,                0.51786,                 2.2133,                 1.6636,                 2.4232,             2.0379e-05,             2.0379e-05,             2.0379e-05
                    120,                 1.4001,                0.72226,                 1.8508,                0.79429,                0.67596,                0.74573,                 0.5168,                 2.2138,                 1.6691,                 2.4224,             1.4034e-05,             1.4034e-05,             1.4034e-05
